ElementName,ElementAddress,Latitude,Longitude
Kentucky Fried Chicken ,Basuki Rahmad 8 12 BBD ,112.7455788,-7.2642396
Kentucky Fried Chicken ,Pemuda 31 37 Plasa Surabaya ,112.748752,-7.2651978
Kentucky Fried Chicken ,Jayengrono 2 JMP Lt 3 ,112.7455788,-7.2642396
Kentucky Fried Chicken ,Basuki Rahmad 8 12 TP ,112.7455788,-7.2642396
Kentucky Fried Chicken ,Kusuma Bangsa 1169 THR Mall ,112.7505931,-7.2523465
Kentucky Fried Chicken ,Dharmahusada Timur 37 Galaxy Mall ,112.7808,-7.277349999999999
Kentucky Fried Chicken ,Raya Darmo 101 ,112.739303,-7.2895099
Mc. Donald ,Jayengrono JMP A 1 2 21 2 ,112.7455788,-7.2642396
Mc. Donald ,Pemuda 31 37 Plasa Surabaya ,112.748752,-7.2651978
Mc. Donald ,Basuki Rahmad TP I Lt 1 ,112.7455788,-7.2642396
Mc. Donald ,Basuki Rahmad TP III Lt 5 ,112.7455788,-7.2642396
Mc. Donald ,Mayjen Sungkono 153 ,112.7063,-7.288688
Mc. Donald ,Raya Darmo 43 ,112.7407168,-7.2821896
Mc.Donald,Basuki Rahmad ,112.7411778,-7.267186099999999
Pizza Hut ,Dharmahusada Timur Galaxy Mall ,112.7808,-7.277349999999999
Pizza Hut ,Basuki Rahmad 8 12 TP I Lt 5 ,112.7455788,-7.2642396
Pizza Hut ,Jemursari 136 ,112.7541186,-7.3155689
Pizza Hut ,Camal I ,112.7219883,-7.169895100000001
Kartikasari Pujasera ,Diponegoro 56 ,112.733205,-7.282973999999999
Kartikasari Pujasera ,Manyar Kertoarjo 23 25 ,112.766604,-7.279599999999999
Arby's,Jemursari 86 ,112.7436387,-7.3219959
Arby's ,Pemuda 31 37 Plasa Surabaya ,112.748752,-7.2651978
Arby's ,Raya Gubeng 33 ,112.7489369,-7.272133
Granada Bakery ,Pemuda 44 ,112.745797,-7.264711999999999
Kartikasari,A Yani 24 B ,112.7291983,-7.3381813
Depot 369 ,Darmo Park II Blok VI 26 27 ,112.6996871,-7.280163099999998
Depot 369 ,Manyar Kertoarjo V 16 ,112.765714,-7.277565
Depot 369 ,,112.6179486,-7.965944100000001
Depot 369 TP I Lt 5 ,Basuki Rahmad 8 12 ,112.7408033,-7.2630303
Depot 369 ,Pemuda 33 3 Surabaya Plasa Lt c1 ,112.748752,-7.2651978
Depot 369 ,Ngagel Jaya Selatan MMI Plasa A 10 ,112.760304,-7.294026
Depot 369 ,Jayengrono JMP III Blok A ,112.7183536,-7.293936800000001
